content,label

"Tiền Giang: Tài xế khóc ròng vì phí khử khuẩn ở Gò Công Tây Phản ánh với PV Thanh Niên, nhiều tài xế cho biết phải trả từ 20.000 - 50.000 đồng/lượt khi di chuyển vào H.Gò Công Tây (Tiền Giang) sau khi được phun khử khuẩn xe.",0

"Bản tin tình hình Covid-19 hôm nay 16.10: TP.HCM ghi nhận 790 ca nhiễm mới, 58 ca tử vong Bản tin tình hình Covid-19 hôm nay của Báo Thanh Niên trực tiếp lúc 20 giờ ngày 16.10.2021 tại địa chỉ thanhnien.vn, YouTube, Facebook của Báo Thanh Niên, trang Báo Thanh Niên trên 2 mạng xã hội Lotus và TikTok.",0

"Hà Nội: Làm rõ nhóm người xăm trổ đập phá cửa nhà dân ở Q.Hai Bà Trưng Chiều 16.10, Công an Q.Hai Bà Trưng (Hà Nội) cho biết đang củng cố hồ sơ để tạm giữ hình sự một số đối tượng có hành vi gây rối trật tự công cộng, đập phá nhà dân liên quan tranh chấp đất đai ở P.Thanh Lương.",0

"Khắc phục sai sót cập nhật dữ liệu tiêm vắc xin Covid-19 Cả nước đã thực hiện 61 triệu mũi vắc xin Covid-19 đã tiêm, nhưng vẫn còn sai sót trong cập nhật dữ liệu người đã tiêm chủng.",1

"Ám ảnh những ‘thị trấn ma’ ở Trung Quốc Giới phân tích cho rằng ""bom nợ"" Evergrande chỉ là phần nổi của ""quả bom nổ chậm"" trong thị trường bất động sản ở Trung Quốc.",1

Long Nhật nói gì về vụ lập group kêu gọi nghệ sĩ tẩy chay Hồ Văn Cường? Long Nhật phủ nhận tin đồn lập group kêu gọi nghệ sĩ tẩy chay Hồ Văn Cường. Anh cho biết bản thân đang kết nối với các nhà hảo tâm để giúp đỡ con nuôi Phi Nhung.,1

"Người miền Tây dừng cuộc ly hương: Vợ vẫn sau lưng... nhưng đã hóa tàn tro 'Ai ngờ khi về cũng trên chiếc xe đó, cũng vợ ở phía sau nhưng không còn hình hài, chỉ còn hũ tro cốt lạnh ngắt, cũng chẳng còn ai đồng hành quãng đời còn lại', người chồng đau xót đưa vợ về quê miền Tây yên nghỉ.",0

